BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11478,6328063,11478.dat,"Technic, Liftarm Thin 1 x 5 - Axle Holes",11,0,Black,Solid Colors,2,0
18651,6089119,18651.dat,"Technic, Axle  2L with Pin with Friction Ridges",11,0,Black,Solid Colors,1,0.32
2780,6279875,2780.dat,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,46,0.16
32009,6271161,32009.dat,"Technic, Liftarm, Modified Bent Thick 1 x 11.5 Double",1,15,White,Solid Colors,4,3.46
32054,6347789,32054.dat,"Technic, Pin 3L with Friction Ridges and Stop Bush",5,4,Red,Solid Colors,10,0.33
32073,4211639,32073.dat,"Technic, Axle  5L",86,71,Light Bluish Gray,Solid Colors,1,0.66
4265c,6271167,32123a.dat,Technic Bush 1/2 Smooth,3,14,Yellow,Solid Colors,7,0.1
32140,6271827,32140.dat,"Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4",5,4,Red,Solid Colors,2,1.43
32184,6276951,32184.dat,"Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole",11,0,Black,Solid Colors,5,0.64
32270,4177431,32270.dat,"Technic, Gear 12 Tooth Double Bevel",11,0,Black,Solid Colors,1,0.58
32278,4542578,32278.dat,"Technic, Liftarm Thick 1 x 15",1,15,White,Solid Colors,4,4.0
32316,6261642,32316.dat,"Technic, Liftarm Thick 1 x 5",71,26,Magenta,Solid Colors,3,0
32316,4211651,32316.dat,"Technic, Liftarm Thick 1 x 5",86,71,Light Bluish Gray,Solid Colors,3,1.21
32524,4495930,32524.dat,"Technic, Liftarm Thick 1 x 7",86,71,Light Bluish Gray,Solid Colors,1,1.74
32525,4611705,32525.dat,"Technic, Liftarm Thick 1 x 11",86,71,Light Bluish Gray,Solid Colors,2,2.8
32526,4585040,32526.dat,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",1,15,White,Solid Colors,4,1.77
33299,6313520,33299.dat,"Technic, Liftarm, Modified Crank / Pin 1 x 3 - Axle Holes",11,0,Black,Solid Colors,1,0.7
3705,370526,3705.dat,"Technic, Axle  4L",11,0,Black,Solid Colors,2,0.6
3706,370626,3706.dat,"Technic, Axle  6L",11,0,Black,Solid Colors,1,0.94
3708,370826,3708.dat,"Technic, Axle 12L",11,0,Black,Solid Colors,1,1.83
3713,6275844,3713.dat,Technic Bush,86,71,Light Bluish Gray,Solid Colors,2,0.14
39367pb01,6460453,39367pb01.dat,Wheel 56 x 14 Technic with Axle Hole and 8 Pin Holes with Molded Medium Azure Hard Rubber Tire Pattern,11,0,Black,Solid Colors,2,0
39793,6252656,39793.dat,"Technic, Pin Connector Block, Liftarm 1 x 3 x 3",71,26,Magenta,Solid Colors,1,0
40490,6102449,40490.dat,"Technic, Liftarm Thick 1 x 9",86,71,Light Bluish Gray,Solid Colors,4,2.59
41239,4522934,41239.dat,"Technic, Liftarm Thick 1 x 13",86,71,Light Bluish Gray,Solid Colors,4,3.3
4185,6321744,4185.dat,Technic Wedge Belt Wheel (Pulley),85,72,Dark Bluish Gray,Solid Colors,4,0.97
42003,6273715,42003.dat,"Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes",85,72,Dark Bluish Gray,Solid Colors,6,0.77
43093,4206482,43093.dat,"Technic, Axle  1L with Pin with Friction Ridges",7,1,Blue,Solid Colors,27,0
44294,4211805,44294.dat,"Technic, Axle  7L",86,71,Light Bluish Gray,Solid Colors,2,1.05
4519,4211815,4519.dat,"Technic, Axle  3L",86,71,Light Bluish Gray,Solid Colors,7,0.43
48989,6282158,48989.dat,"Technic, Pin Connector Perpendicular 3L with 4 Pins",86,71,Light Bluish Gray,Solid Colors,6,1.22
49295pb01,6261593,49295c01.dat,Wheel 88 x 14 Technic with Axle Hole and 28 Pin Holes with Molded Medium Azure Hard Rubber Tire Pattern,11,0,Black,Solid Colors,2,0
60483,6265091,60483.dat,"Technic, Liftarm Thick 1 x 2 - Axle Hole",11,0,Black,Solid Colors,1,0.46
64178,4540797,64178.dat,"Technic, Liftarm, Modified Frame Thick 5 x 11 Open Center",86,71,Light Bluish Gray,Solid Colors,1,7.0
64179,4539880,64179.dat,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",86,71,Light Bluish Gray,Solid Colors,1,5.3
6536,6261375,6536.dat,"Technic, Axle and Pin Connector Perpendicular",86,71,Light Bluish Gray,Solid Colors,4,0.39
6558,6299413,6558.dat,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,11,0.31
6589,4565452,6589.dat,"Technic, Gear 12 Tooth Bevel",2,19,Tan,Solid Colors,3,0.29
87408,6278412,87408.dat,"Technic, Pin Connector Toggle Joint Smooth Double with Axle and Pin Holes",11,0,Black,Solid Colors,2,1.54
95646c01,6187080,95646.dat,Mindstorms EV3 - Complete Brick,0,-100,24121C,Solid Colors,1,180.0
95650,6008919,95650.dat,"Electric Sensor, Color - EV3",0,-100,24121C,Solid Colors,1,13.6
95652,6063629,95652.dat,"Electric Sensor, Ultrasonic - EV3",0,-100,24121C,Solid Colors,1,24.0
99380,6008916,99380.dat,"Electric Sensor, Gyro - EV3",0,-100,24121C,Solid Colors,1,12.7
99455,6008577,99455.dat,"Electric, Motor EV3, Medium",0,-100,24121C,Solid Colors,4,38.3
99773,6331428,99773.dat,"Technic, Liftarm, Modified Triangle Thin 3 x 5 with Short Supports",86,71,Light Bluish Gray,Solid Colors,4,1.2
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
203,526.29,,,,,,,,
